author_id,id,created_at,text,edit_history_tweet_ids
188692940,1977636062601379969,2025-10-14T07:22:34.000Z,👵🏻シルバー女子のまだ❣️｢10日に1度､1カゴだけの買物｣｢燃えるゴミ､月に1度の35L袋｣兎に角買物に行か無い🛒薄味に慣れて調味料の節約❣️生ゴミは肥料に❣️擦り切れる前に刺子で補強❣️お出かけはまとめてガソリン代節約⛽️etc年金生活は時間をかけて節約出来ます🎵,['1977636062601379969']
188692940,1977603927035273710,2025-10-14T05:14:52.000Z,"あじよし👵🏻今日は凖定休日の為お休みさせて頂きます🙇‍♀️
お米は三倍の値段に成りました💧夕食にご飯は止めて居ます🥢相方は痩せたと言いますが､私には影響無し‼️最近､朝はスープパスタや🍝うどんです❣️コスパ最高💕",['1977603927035273710']
188692940,1976949125133586887,2025-10-13T16:52:56.000Z,👵🏻不倫浮気👀しかも2人の女性を傷つけ💧中途半端な片付け方で…彼女達の傷は癒えて居るのでしょうか⁉️その人が国のトップに成りたがるとは‼️全く思いやりが無い人です💢功名心が強く信念が無い‼️担なる女たらしだったんですね💢見損無いました💢次は人として入れません💢,['1976949125133586887']
